类别,项目,子项,值,单位/备注
判据反验,Le反验(准稳态热场),,56.8983,Δ+0.3026 h
判据反验,Bi_m反验(集总),,11.1720,Δ+46.0289 h
判据反验,Bi_h反验(h→∞),,57.1256,Δ+0.0753 h
论文表,表1[t=100s],r=0.0cm,28.0001,℃
论文表,表2[t=100s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=100s],r=0.5cm,28.0003,℃
论文表,表2[t=100s],r=0.5cm,2.5500,kg/kg
论文表,表1[t=100s],r=1.0cm,28.0040,℃
论文表,表2[t=100s],r=1.0cm,2.5500,kg/kg
论文表,表1[t=100s],r=1.5cm,28.0327,℃
论文表,表2[t=100s],r=1.5cm,2.5500,kg/kg
论文表,表1[t=100s],r=2.0cm,28.1801,℃
论文表,表2[t=100s],r=2.0cm,2.2470,kg/kg
论文表,表1[t=300s],r=0.0cm,28.0408,℃
论文表,表2[t=300s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=300s],r=0.5cm,28.0635,℃
论文表,表2[t=300s],r=0.5cm,2.5500,kg/kg
论文表,表1[t=300s],r=1.0cm,28.1514,℃
论文表,表2[t=300s],r=1.0cm,2.5500,kg/kg
论文表,表1[t=300s],r=1.5cm,28.3681,℃
论文表,表2[t=300s],r=1.5cm,2.5492,kg/kg
论文表,表1[t=300s],r=2.0cm,28.8489,℃
论文表,表2[t=300s],r=2.0cm,2.0508,kg/kg
论文表,表1[t=600s],r=0.0cm,28.4533,℃
论文表,表2[t=600s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=600s],r=0.5cm,28.5360,℃
论文表,表2[t=600s],r=0.5cm,2.5500,kg/kg
论文表,表1[t=600s],r=1.0cm,28.8039,℃
论文表,表2[t=600s],r=1.0cm,2.5500,kg/kg
论文表,表1[t=600s],r=1.5cm,29.3159,℃
论文表,表2[t=600s],r=1.5cm,2.5353,kg/kg
论文表,表1[t=600s],r=2.0cm,30.1652,℃
论文表,表2[t=600s],r=2.0cm,1.8770,kg/kg
论文表,表1[t=900s],r=0.0cm,29.3243,℃
论文表,表2[t=900s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=900s],r=0.5cm,29.4583,℃
论文表,表2[t=900s],r=0.5cm,2.5500,kg/kg
论文表,表1[t=900s],r=1.0cm,29.8755,℃
论文表,表2[t=900s],r=1.0cm,2.5497,kg/kg
论文表,表1[t=900s],r=1.5cm,30.6161,℃
论文表,表2[t=900s],r=1.5cm,2.5045,kg/kg
论文表,表1[t=900s],r=2.0cm,31.7304,℃
论文表,表2[t=900s],r=2.0cm,1.7547,kg/kg
论文表,表1[t=1200s],r=0.0cm,30.5427,℃
论文表,表2[t=1200s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=1200s],r=0.5cm,30.7098,℃
论文表,表2[t=1200s],r=0.5cm,2.5500,kg/kg
论文表,表1[t=1200s],r=1.0cm,31.2223,℃
论文表,表2[t=1200s],r=1.0cm,2.5482,kg/kg
论文表,表1[t=1200s],r=1.5cm,32.1126,℃
论文表,表2[t=1200s],r=1.5cm,2.4646,kg/kg
论文表,表1[t=1200s],r=2.0cm,33.4276,℃
论文表,表2[t=1200s],r=2.0cm,1.6586,kg/kg
论文表,表1[t=1500s],r=0.0cm,31.9957,℃
论文表,表2[t=1500s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=1500s],r=0.5cm,32.1867,℃
论文表,表2[t=1500s],r=0.5cm,2.5499,kg/kg
论文表,表1[t=1500s],r=1.0cm,32.7660,℃
论文表,表2[t=1500s],r=1.0cm,2.5445,kg/kg
论文表,表1[t=1500s],r=1.5cm,33.7463,℃
论文表,表2[t=1500s],r=1.5cm,2.4206,kg/kg
论文表,表1[t=1500s],r=2.0cm,35.1203,℃
论文表,表2[t=1500s],r=2.0cm,1.5787,kg/kg
论文表,表1[t=1800s],r=0.0cm,33.5753,℃
论文表,表2[t=1800s],r=0.0cm,2.5500,kg/kg
论文表,表1[t=1800s],r=0.5cm,33.7720,℃
论文表,表2[t=1800s],r=0.5cm,2.5497,kg/kg
论文表,表1[t=1800s],r=1.0cm,34.3642,℃
论文表,表2[t=1800s],r=1.0cm,2.5383,kg/kg
论文表,表1[t=1800s],r=1.5cm,35.3621,℃
论文表,表2[t=1800s],r=1.5cm,2.3755,kg/kg
论文表,表1[t=1800s],r=2.0cm,36.7856,℃
论文表,表2[t=1800s],r=2.0cm,1.5102,kg/kg
论文表,表3[t=0.5h],r=0.0cm,32.1892,℃
论文表,表4[t=0.5h],r=0.0cm,2.5499,kg/kg
论文表,表3[t=0.5h],r=0.5cm,32.3821,℃
论文表,表4[t=0.5h],r=0.5cm,2.5489,kg/kg
论文表,表3[t=0.5h],r=1.0cm,32.9659,℃
论文表,表4[t=0.5h],r=1.0cm,2.5256,kg/kg
论文表,表3[t=0.5h],r=1.5cm,33.9608,℃
论文表,表4[t=0.5h],r=1.5cm,2.3257,kg/kg
论文表,表3[t=0.5h],r=2.0cm,35.4130,℃
论文表,表4[t=0.5h],r=2.0cm,1.6486,kg/kg
论文表,表3[t=1.0h],r=0.0cm,40.3816,℃
论文表,表4[t=1.0h],r=0.0cm,2.5258,kg/kg
论文表,表3[t=1.0h],r=0.5cm,40.5536,℃
论文表,表4[t=1.0h],r=0.5cm,2.4948,kg/kg
论文表,表3[t=1.0h],r=1.0cm,41.0605,℃
论文表,表4[t=1.0h],r=1.0cm,2.3578,kg/kg
论文表,表3[t=1.0h],r=1.5cm,41.8782,℃
论文表,表4[t=1.0h],r=1.5cm,2.0230,kg/kg
论文表,表3[t=1.0h],r=2.0cm,42.9976,℃
论文表,表4[t=1.0h],r=2.0cm,1.4711,kg/kg
论文表,表3[t=1.5h],r=0.0cm,45.8468,℃
论文表,表4[t=1.5h],r=0.0cm,2.3861,kg/kg
论文表,表3[t=1.5h],r=0.5cm,45.9348,℃
论文表,表4[t=1.5h],r=0.5cm,2.3256,kg/kg
论文表,表3[t=1.5h],r=1.0cm,46.1930,℃
论文表,表4[t=1.5h],r=1.0cm,2.1344,kg/kg
论文表,表3[t=1.5h],r=1.5cm,46.6051,℃
论文表,表4[t=1.5h],r=1.5cm,1.8020,kg/kg
论文表,表3[t=1.5h],r=2.0cm,47.1401,℃
论文表,表4[t=1.5h],r=2.0cm,1.3476,kg/kg
论文表,表3[t=2.0h],r=0.0cm,48.4502,℃
论文表,表4[t=2.0h],r=0.0cm,2.1709,kg/kg
论文表,表3[t=2.0h],r=0.5cm,48.4881,℃
论文表,表4[t=2.0h],r=0.5cm,2.1084,kg/kg
论文表,表3[t=2.0h],r=1.0cm,48.5984,℃
论文表,表4[t=2.0h],r=1.0cm,1.9236,kg/kg
论文表,表3[t=2.0h],r=1.5cm,48.7735,℃
论文表,表4[t=2.0h],r=1.5cm,1.6259,kg/kg
论文表,表3[t=2.0h],r=2.0cm,49.0033,℃
论文表,表4[t=2.0h],r=2.0cm,1.2311,kg/kg
论文表,表3[t=2.5h],r=0.0cm,49.4670,℃
论文表,表4[t=2.5h],r=0.0cm,1.9566,kg/kg
论文表,表3[t=2.5h],r=0.5cm,49.4792,℃
论文表,表4[t=2.5h],r=0.5cm,1.9006,kg/kg
论文表,表3[t=2.5h],r=1.0cm,49.5136,℃
论文表,表4[t=2.5h],r=1.0cm,1.7360,kg/kg
论文表,表3[t=2.5h],r=1.5cm,49.5653,℃
论文表,表4[t=2.5h],r=1.5cm,1.4720,kg/kg
论文表,表3[t=2.5h],r=2.0cm,49.6609,℃
论文表,表4[t=2.5h],r=2.0cm,1.1166,kg/kg
论文表,表3[t=3.0h],r=0.0cm,49.8495,℃
论文表,表4[t=3.0h],r=0.0cm,1.7662,kg/kg
论文表,表3[t=3.0h],r=0.5cm,49.8553,℃
论文表,表4[t=3.0h],r=0.5cm,1.7165,kg/kg
论文表,表3[t=3.0h],r=1.0cm,49.8746,℃
论文表,表4[t=3.0h],r=1.0cm,1.5702,kg/kg
论文表,表3[t=3.0h],r=1.5cm,49.9101,℃
论文表,表4[t=3.0h],r=1.5cm,1.3333,kg/kg
论文表,表3[t=3.0h],r=2.0cm,49.9664,℃
论文表,表4[t=3.0h],r=2.0cm,1.0081,kg/kg
论文表,表5[t=6h],r=0.0cm,1.0156,kg/kg
论文表,表5[t=6h],r=0.5cm,0.9868,kg/kg
论文表,表5[t=6h],r=1.0cm,0.9006,kg/kg
论文表,表5[t=6h],r=1.5cm,0.7546,kg/kg
论文表,表5[t=6h],r=2.0cm,0.5335,kg/kg
论文表,表5[t=12h],r=0.0cm,0.4548,kg/kg
论文表,表5[t=12h],r=0.5cm,0.4418,kg/kg
论文表,表5[t=12h],r=1.0cm,0.4019,kg/kg
论文表,表5[t=12h],r=1.5cm,0.3289,kg/kg
论文表,表5[t=12h],r=2.0cm,0.1639,kg/kg
论文表,表5[t=18h],r=0.0cm,0.2979,kg/kg
论文表,表5[t=18h],r=0.5cm,0.2906,kg/kg
论文表,表5[t=18h],r=1.0cm,0.2679,kg/kg
论文表,表5[t=18h],r=1.5cm,0.2247,kg/kg
论文表,表5[t=18h],r=2.0cm,0.0842,kg/kg
论文表,表5[t=24h],r=0.0cm,0.2371,kg/kg
论文表,表5[t=24h],r=0.5cm,0.2321,kg/kg
论文表,表5[t=24h],r=1.0cm,0.2161,kg/kg
论文表,表5[t=24h],r=1.5cm,0.1851,kg/kg
论文表,表5[t=24h],r=2.0cm,0.0663,kg/kg
论文表,表5[t=30h],r=0.0cm,0.2053,kg/kg
论文表,表5[t=30h],r=0.5cm,0.2013,kg/kg
论文表,表5[t=30h],r=1.0cm,0.1887,kg/kg
论文表,表5[t=30h],r=1.5cm,0.1637,kg/kg
论文表,表5[t=30h],r=2.0cm,0.0597,kg/kg
论文表,表5[t=36h],r=0.0cm,0.1854,kg/kg
论文表,表5[t=36h],r=0.5cm,0.1821,kg/kg
论文表,表5[t=36h],r=1.0cm,0.1714,kg/kg
论文表,表5[t=36h],r=1.5cm,0.1501,kg/kg
论文表,表5[t=36h],r=2.0cm,0.0565,kg/kg
论文表,表5[t=42h],r=0.0cm,0.1717,kg/kg
论文表,表5[t=42h],r=0.5cm,0.1687,kg/kg
论文表,表5[t=42h],r=1.0cm,0.1594,kg/kg
论文表,表5[t=42h],r=1.5cm,0.1404,kg/kg
论文表,表5[t=42h],r=2.0cm,0.0547,kg/kg
论文表,表5[t=48h],r=0.0cm,0.1615,kg/kg
论文表,表5[t=48h],r=0.5cm,0.1588,kg/kg
论文表,表5[t=48h],r=1.0cm,0.1504,kg/kg
论文表,表5[t=48h],r=1.5cm,0.1332,kg/kg
论文表,表5[t=48h],r=2.0cm,0.0536,kg/kg
论文表,表5[t=54h],r=0.0cm,0.1535,kg/kg
论文表,表5[t=54h],r=0.5cm,0.1511,kg/kg
论文表,表5[t=54h],r=1.0cm,0.1434,kg/kg
论文表,表5[t=54h],r=1.5cm,0.1275,kg/kg
论文表,表5[t=54h],r=2.0cm,0.0528,kg/kg
论文表,表5[烘干结束时间],r=0.0cm,0.1500,kg/kg
论文表,表5[烘干结束时间],r=0.5cm,0.1477,kg/kg
论文表,表5[烘干结束时间],r=1.0cm,0.1402,kg/kg
论文表,表5[烘干结束时间],r=1.5cm,0.1249,kg/kg
论文表,表5[烘干结束时间],r=2.0cm,0.0525,kg/kg
论文表,表6[t=6h],r=0cm,1.7132,kg/kg
论文表,表6[t=6h],r=0.5cm,1.5336,kg/kg
论文表,表6[t=6h],r=1cm,1.0247,kg/kg
论文表,表6[t=6h],r=1.5cm,,kg/kg
论文表,表6[t=6h],药材表面,0.4202,kg/kg
论文表,表6[t=12h],r=0cm,0.7362,kg/kg
论文表,表6[t=12h],r=0.5cm,0.6525,kg/kg
论文表,表6[t=12h],r=1cm,0.4044,kg/kg
论文表,表6[t=12h],r=1.5cm,,kg/kg
论文表,表6[t=12h],药材表面,0.1676,kg/kg
论文表,表6[t=18h],r=0cm,0.4044,kg/kg
论文表,表6[t=18h],r=0.5cm,0.3645,kg/kg
论文表,表6[t=18h],r=1cm,0.2359,kg/kg
论文表,表6[t=18h],r=1.5cm,,kg/kg
论文表,表6[t=18h],药材表面,0.0886,kg/kg
论文表,表6[t=24h],r=0cm,0.2825,kg/kg
论文表,表6[t=24h],r=0.5cm,0.2588,kg/kg
论文表,表6[t=24h],r=1cm,0.1777,kg/kg
论文表,表6[t=24h],r=1.5cm,,kg/kg
论文表,表6[t=24h],药材表面,0.0669,kg/kg
论文表,表6[t=30h],r=0cm,0.2247,kg/kg
论文表,表6[t=30h],r=0.5cm,0.2079,kg/kg
论文表,表6[t=30h],r=1cm,0.1483,kg/kg
论文表,表6[t=30h],r=1.5cm,,kg/kg
论文表,表6[t=30h],药材表面,0.0592,kg/kg
论文表,表6[t=36h],r=0cm,0.1915,kg/kg
论文表,表6[t=36h],r=0.5cm,0.1784,kg/kg
论文表,表6[t=36h],r=1cm,0.1305,kg/kg
论文表,表6[t=36h],r=1.5cm,,kg/kg
论文表,表6[t=36h],药材表面,0.0558,kg/kg
论文表,表6[t=42h],r=0cm,0.1701,kg/kg
论文表,表6[t=42h],r=0.5cm,0.1593,kg/kg
论文表,表6[t=42h],r=1cm,0.1186,kg/kg
论文表,表6[t=42h],r=1.5cm,,kg/kg
论文表,表6[t=42h],药材表面,0.0539,kg/kg
论文表,表6[t=48h],r=0cm,0.1551,kg/kg
论文表,表6[t=48h],r=0.5cm,0.1457,kg/kg
论文表,表6[t=48h],r=1cm,0.1100,kg/kg
论文表,表6[t=48h],r=1.5cm,,kg/kg
论文表,表6[t=48h],药材表面,0.0528,kg/kg
论文表,表6[烘干结束时间],r=0cm,0.1500,kg/kg
论文表,表6[烘干结束时间],r=0.5cm,0.1411,kg/kg
论文表,表6[烘干结束时间],r=1cm,0.1071,kg/kg
论文表,表6[烘干结束时间],r=1.5cm,,kg/kg
论文表,表6[烘干结束时间],药材表面,0.0525,kg/kg
